neg,neu,pos,compound
0.0,0.825,0.175,0.5574
0.368,0.632,0.0,-0.7506
0.0,0.61,0.39,0.4939
0.0,1.0,0.0,0.0
0.089,0.565,0.347,0.7506
0.0,1.0,0.0,0.0
0.104,0.896,0.0,-0.3252
0.0,1.0,0.0,0.0
0.348,0.652,0.0,-0.4939
0.211,0.544,0.245,0.128
0.204,0.796,0.0,-0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.245,0.755,0.0,-0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.171,0.829,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.821,0.179,0.34
0.0,1.0,0.0,0.0
0.072,0.801,0.127,0.2086
0.231,0.769,0.0,-0.4019
0.278,0.722,0.0,-0.4019
0.0,1.0,0.0,0.0
0.231,0.578,0.191,0.0772
0.0,1.0,0.0,0.0
0.112,0.888,0.0,-0.2263
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.248,0.584,0.168,-0.2732
0.0,1.0,0.0,0.0
0.202,0.798,0.0,-0.6486
0.196,0.725,0.08,-0.3818
0.0,1.0,0.0,0.0
0.375,0.625,0.0,-0.765
0.29,0.71,0.0,-0.5994
0.214,0.786,0.0,-0.4588
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.197,0.803,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.262,0.738,0.0,-0.4939
0.316,0.684,0.0,-0.4019
0.524,0.476,0.0,-0.6705
0.163,0.837,0.0,-0.3252
0.204,0.796,0.0,-0.3182
0.193,0.807,0.0,-0.4767
0.111,0.707,0.182,0.34
0.0,1.0,0.0,0.0
0.236,0.691,0.073,-0.6124
0.0,0.769,0.231,0.5106
0.149,0.851,0.0,-0.1027
0.262,0.738,0.0,-0.5994
0.213,0.787,0.0,-0.4019
0.0,1.0,0.0,0.0
0.351,0.649,0.0,-0.4019
0.0,0.756,0.244,0.4404
0.384,0.616,0.0,-0.6808
0.143,0.857,0.0,-0.1695
0.208,0.792,0.0,-0.2732
0.136,0.791,0.073,-0.2732
0.2,0.8,0.0,-0.6705
0.0,0.781,0.219,0.4215
0.0,0.894,0.106,0.0772
0.245,0.552,0.202,0.0772
0.133,0.867,0.0,-0.3182
0.0,1.0,0.0,0.0
0.0,0.885,0.115,0.0762
0.126,0.874,0.0,-0.3182
0.0,0.753,0.247,0.5574
0.307,0.693,0.0,-0.7351
0.0,0.777,0.223,0.3182
0.0,0.787,0.213,0.4019
0.0,0.559,0.441,0.7964
0.205,0.795,0.0,-0.4767
0.194,0.582,0.224,0.0946
0.231,0.769,0.0,-0.4019
0.337,0.663,0.0,-0.6808
0.0,1.0,0.0,0.0
0.14,0.732,0.128,-0.0516
0.12,0.88,0.0,-0.128
0.135,0.752,0.113,-0.1531
0.0,0.677,0.323,0.5106
0.194,0.667,0.139,-0.2263
0.0,1.0,0.0,0.0
0.256,0.744,0.0,-0.5399
0.16,0.84,0.0,-0.2263
0.0,0.881,0.119,0.3182
0.133,0.867,0.0,-0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.184,0.816,0.0,-0.4449
0.236,0.632,0.132,-0.4215
0.187,0.813,0.0,-0.3182
0.317,0.683,0.0,-0.6249
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.87,0.13,0.2023
0.18,0.82,0.0,-0.5106
0.556,0.444,0.0,-0.8402
0.139,0.861,0.0,-0.2732
0.31,0.526,0.164,-0.3612
0.217,0.783,0.0,-0.5574
0.488,0.407,0.106,-0.6908
0.333,0.667,0.0,-0.6124
0.0,0.857,0.143,0.3612
0.143,0.857,0.0,-0.25
0.133,0.867,0.0,-0.3182
0.0,1.0,0.0,0.0
0.0,0.876,0.124,0.4019
0.281,0.719,0.0,-0.6486
0.268,0.732,0.0,-0.4449
0.0,1.0,0.0,0.0
0.17,0.654,0.176,0.0258
0.16,0.84,0.0,-0.2732
0.182,0.818,0.0,-0.25
0.121,0.879,0.0,-0.0258
0.146,0.854,0.0,-0.34
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.278,0.722,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,0.902,0.098,0.3612
0.162,0.738,0.1,-0.4019
0.124,0.791,0.085,-0.1779
0.0,0.861,0.139,0.4404
0.0,0.801,0.199,0.357
0.0,0.777,0.223,0.3182
0.22,0.78,0.0,-0.4767
0.167,0.833,0.0,-0.296
0.114,0.742,0.145,0.1591
0.0,1.0,0.0,0.0
0.0,0.867,0.133,0.3182
0.0,1.0,0.0,0.0
0.29,0.71,0.0,-0.5423
0.218,0.782,0.0,-0.5994
0.0,1.0,0.0,0.0
0.178,0.745,0.077,-0.5423
0.153,0.847,0.0,-0.6705
0.078,0.768,0.154,0.291
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.113,0.776,0.111,-0.0093
0.0,0.894,0.106,0.2235
0.535,0.465,0.0,-0.7096
0.13,0.87,0.0,-0.2732
0.213,0.787,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.873,0.127,0.1877
0.162,0.677,0.162,0.0
0.252,0.748,0.0,-0.4019
0.0,1.0,0.0,0.0
0.352,0.648,0.0,-0.5859
0.0,0.797,0.203,0.4215
0.245,0.755,0.0,-0.3818
0.0,1.0,0.0,0.0
0.362,0.638,0.0,-0.5267
0.0,1.0,0.0,0.0
0.0,0.805,0.195,0.4847
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.055,0.945,0.0,-0.0286
0.558,0.442,0.0,-0.6189
0.358,0.642,0.0,-0.5994
0.266,0.734,0.0,-0.4404
0.0,0.811,0.189,0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.279,0.721,0.0,-0.4767
0.0,1.0,0.0,0.0
0.302,0.698,0.0,-0.5994
0.0,1.0,0.0,0.0
0.0,0.838,0.162,0.4767
0.0,0.899,0.101,0.2023
0.0,1.0,0.0,0.0
0.159,0.769,0.071,-0.3818
0.0,0.8,0.2,0.3612
0.464,0.536,0.0,-0.8316
0.085,0.915,0.0,-0.0516
0.177,0.823,0.0,-0.4215
0.256,0.744,0.0,-0.4767
0.252,0.748,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.203,0.797,0.0,-0.4215
0.0,1.0,0.0,0.0
0.0,0.8,0.2,0.3612
0.167,0.833,0.0,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.127,0.809,0.064,-0.2732
0.158,0.842,0.0,-0.3089
0.0,1.0,0.0,0.0
0.0,0.839,0.161,0.3182
0.57,0.43,0.0,-0.6486
0.0,0.769,0.231,0.4019
0.371,0.506,0.124,-0.6597
0.0,1.0,0.0,0.0
0.0,0.781,0.219,0.4215
0.307,0.693,0.0,-0.4767
0.315,0.685,0.0,-0.3182
0.387,0.613,0.0,-0.743
0.129,0.871,0.0,-0.4767
0.142,0.732,0.126,-0.1779
0.087,0.913,0.0,-0.25
0.114,0.886,0.0,-0.4767
0.0,0.895,0.105,0.3802
0.318,0.602,0.08,-0.7964
0.301,0.699,0.0,-0.802
0.075,0.925,0.0,-0.296
0.169,0.639,0.192,0.1779
0.0,1.0,0.0,0.0
0.195,0.805,0.0,-0.7005
0.292,0.708,0.0,-0.765
0.485,0.515,0.0,-0.8555
0.279,0.721,0.0,-0.4767
0.182,0.818,0.0,-0.25
0.234,0.766,0.0,-0.7269
0.112,0.888,0.0,-0.6908
0.312,0.588,0.1,-0.8078
0.0,1.0,0.0,0.0
0.16,0.625,0.215,0.2023
0.091,0.909,0.0,-0.0772
0.0,1.0,0.0,0.0
0.237,0.763,0.0,-0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.255,0.745,0.0,-0.6249
0.0,0.865,0.135,0.3612
0.16,0.84,0.0,-0.2732
0.149,0.851,0.0,-0.2732
0.23,0.559,0.211,-0.0772
0.387,0.476,0.137,-0.6369
0.253,0.747,0.0,-0.4082
0.145,0.855,0.0,-0.296
0.256,0.625,0.119,-0.34
0.0,1.0,0.0,0.0
0.0,0.69,0.31,0.4019
0.239,0.761,0.0,-0.296
0.366,0.488,0.146,-0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.235,0.765,0.0,-0.6124
0.227,0.773,0.0,-0.4767
0.188,0.652,0.159,-0.1027
0.257,0.743,0.0,-0.4215
0.22,0.78,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.857,0.143,0.3612
0.0,0.844,0.156,0.34
0.0,1.0,0.0,0.0
0.261,0.541,0.198,-0.1779
0.0,1.0,0.0,0.0
0.508,0.492,0.0,-0.7351
0.462,0.538,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,0.783,0.217,0.3612
0.149,0.851,0.0,-0.1027
0.0,0.774,0.226,0.4449
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.231,0.769,0.0,-0.4588
0.0,1.0,0.0,0.0
0.343,0.657,0.0,-0.7783
0.0,0.85,0.15,0.3182
0.189,0.811,0.0,-0.2732
0.181,0.819,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,0.735,0.265,0.5574
0.0,0.709,0.291,0.476
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.8,0.2,0.3612
0.129,0.786,0.085,-0.1695
0.0,0.888,0.112,0.34
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.179,0.821,0.0,-0.34
0.0,1.0,0.0,0.0
0.235,0.588,0.176,-0.2023
0.0,0.755,0.245,0.4449
0.0,0.806,0.194,0.34
0.0,1.0,0.0,0.0
0.0,0.714,0.286,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.355,0.645,0.0,-0.6808
0.097,0.903,0.0,-0.0191
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.259,0.741,0.0,-0.5423
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.167,0.833,0.0,-0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.167,0.833,0.0,-0.4215
0.0,0.848,0.152,0.3612
0.104,0.896,0.0,-0.1027
0.172,0.828,0.0,-0.6103
0.0,1.0,0.0,0.0
0.179,0.821,0.0,-0.2411
0.0,1.0,0.0,0.0
0.44,0.56,0.0,-0.6705
0.0,0.784,0.216,0.5106
0.0,0.816,0.184,0.2584
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.161,0.839,0.0,-0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.189,0.811,0.0,-0.2732
0.128,0.872,0.0,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.327,0.673,0.0,-0.5267
0.0,1.0,0.0,0.0
0.381,0.408,0.211,-0.3612
0.273,0.615,0.112,-0.6369
0.0,0.813,0.187,0.3182
0.0,1.0,0.0,0.0
0.196,0.804,0.0,-0.296
0.0,1.0,0.0,0.0
0.298,0.702,0.0,-0.5267
0.0,1.0,0.0,0.0
0.232,0.768,0.0,-0.2057
0.235,0.588,0.176,-0.2023
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.497,0.503,0.0,-0.7845
0.279,0.721,0.0,-0.4767
0.211,0.789,0.0,-0.34
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.197,0.657,0.146,-0.1779
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.273,0.727,0.0,-0.7184
0.161,0.839,0.0,-0.3182
0.114,0.644,0.243,0.3818
0.133,0.867,0.0,-0.3182
0.205,0.795,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.226,0.511,0.263,0.128
0.0,1.0,0.0,0.0
0.286,0.714,0.0,-0.6597
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.272,0.526,0.202,-0.2023
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.852,0.148,0.3089
0.0,1.0,0.0,0.0
0.145,0.855,0.0,-0.296
0.213,0.492,0.295,0.25
0.18,0.82,0.0,-0.296
0.0,1.0,0.0,0.0
0.196,0.804,0.0,-0.296
0.0,1.0,0.0,0.0
0.333,0.667,0.0,-0.4588
0.381,0.619,0.0,-0.5719
0.247,0.753,0.0,-0.5574
0.22,0.78,0.0,-0.4767
0.171,0.67,0.159,-0.0351
0.302,0.698,0.0,-0.6369
0.0,1.0,0.0,0.0
0.22,0.78,0.0,-0.4767
0.163,0.837,0.0,-0.4449
0.276,0.724,0.0,-0.4919
0.301,0.699,0.0,-0.6808
0.0,1.0,0.0,0.0
0.0,0.829,0.171,0.1139
0.216,0.784,0.0,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.221,0.516,0.263,0.2263
0.0,1.0,0.0,0.0
0.189,0.811,0.0,-0.3244
0.231,0.562,0.206,-0.1027
0.0,0.769,0.231,0.5106
0.446,0.554,0.0,-0.8049
0.0,0.769,0.231,0.5574
0.113,0.887,0.0,-0.4939
0.0,1.0,0.0,0.0
0.198,0.802,0.0,-0.4939
0.375,0.625,0.0,-0.7351
0.246,0.754,0.0,-0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.412,0.588,0.0,-0.5994
0.0,1.0,0.0,0.0
0.183,0.563,0.254,0.25
0.139,0.861,0.0,-0.2732
0.371,0.629,0.0,-0.7096
0.0,1.0,0.0,0.0
0.0,0.78,0.22,0.4767
0.0,1.0,0.0,0.0
0.237,0.763,0.0,-0.4767
0.0,0.845,0.155,0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.213,0.787,0.0,-0.4023
0.133,0.867,0.0,-0.25
0.0,1.0,0.0,0.0
0.0,0.874,0.126,0.3182
0.0,1.0,0.0,0.0
0.171,0.829,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,0.771,0.229,0.4318
0.256,0.744,0.0,-0.4767
0.0,1.0,0.0,0.0
0.162,0.838,0.0,-0.4767
0.0,1.0,0.0,0.0
0.423,0.385,0.192,-0.4588
0.0,1.0,0.0,0.0
0.167,0.833,0.0,-0.1027
0.0,1.0,0.0,0.0
0.223,0.777,0.0,-0.3182
0.223,0.573,0.204,-0.0772
0.342,0.658,0.0,-0.3818
0.273,0.727,0.0,-0.4588
0.0,0.685,0.315,0.3182
0.394,0.606,0.0,-0.3818
0.0,1.0,0.0,0.0
0.22,0.78,0.0,-0.7351
0.177,0.823,0.0,-0.4215
0.0,0.887,0.113,0.5106
0.0,1.0,0.0,0.0
0.126,0.631,0.243,0.3182
0.0,0.705,0.295,0.5574
0.0,1.0,0.0,0.0
0.06,0.86,0.08,0.1779
0.079,0.921,0.0,-0.4588
0.14,0.86,0.0,-0.4767
0.3,0.65,0.05,-0.9169
0.0,1.0,0.0,0.0
0.0,0.853,0.147,0.2263
0.0,0.714,0.286,0.4215
0.0,0.936,0.064,0.1779
0.082,0.824,0.094,0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.326,0.674,0.0,-0.7003
0.083,0.917,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,0.69,0.31,0.5574
0.125,0.714,0.161,0.1531
0.317,0.683,0.0,-0.7208
0.285,0.462,0.254,-0.1027
0.218,0.782,0.0,-0.5994
0.213,0.787,0.0,-0.2263
0.327,0.673,0.0,-0.5267
0.0,1.0,0.0,0.0
0.454,0.546,0.0,-0.7574
0.284,0.583,0.132,-0.4742
0.0,0.807,0.193,0.4767
0.162,0.838,0.0,-0.4767
0.0,0.865,0.135,0.1027
0.0,0.815,0.185,0.3612
0.0,0.803,0.197,0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.171,0.829,0.0,-0.5423
0.179,0.821,0.0,-0.34
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.118,0.664,0.218,0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.396,0.519,0.084,-0.7003
0.308,0.692,0.0,-0.5994
0.0,1.0,0.0,0.0
0.188,0.604,0.208,0.0772
0.279,0.721,0.0,-0.4767
0.0,0.789,0.211,0.34
0.0,0.738,0.262,0.4939
0.254,0.522,0.224,-0.1027
0.0,0.847,0.153,0.5574
0.156,0.844,0.0,-0.34
0.175,0.825,0.0,-0.5267
0.294,0.588,0.118,-0.5574
0.181,0.819,0.0,-0.4767
0.124,0.719,0.157,0.128
0.0,0.829,0.171,0.5106
0.198,0.659,0.144,-0.2263
0.116,0.884,0.0,-0.2411
0.0,0.785,0.215,0.5667
0.479,0.521,0.0,-0.8781
0.128,0.872,0.0,-0.2263
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.157,0.843,0.0,-0.4215
0.247,0.753,0.0,-0.3182
0.0,1.0,0.0,0.0
0.211,0.789,0.0,-0.4939
0.0,0.806,0.194,0.34
0.193,0.435,0.373,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.245,0.755,0.0,-0.5994
0.0,0.618,0.382,0.5859
0.197,0.803,0.0,-0.4019
0.239,0.761,0.0,-0.5719
0.0,1.0,0.0,0.0
0.256,0.744,0.0,-0.4767
0.0,0.753,0.247,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.202,0.798,0.0,-0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.084,0.653,0.263,0.5529
0.0,0.858,0.142,0.2057
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.162,0.838,0.0,-0.4019
0.0,0.741,0.259,0.4215
0.0,1.0,0.0,0.0
0.31,0.69,0.0,-0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.936,0.064,0.1779
0.0,1.0,0.0,0.0
0.333,0.667,0.0,-0.5423
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.329,0.671,0.0,-0.6597
0.0,1.0,0.0,0.0
0.533,0.467,0.0,-0.8868
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.423,0.577,0.0,-0.765
0.21,0.79,0.0,-0.4449
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.893,0.107,0.0516
0.333,0.667,0.0,-0.5423
0.0,0.806,0.194,0.34
0.0,0.844,0.156,0.1695
0.0,0.874,0.126,0.3182
0.0,0.806,0.194,0.5574
0.149,0.608,0.243,0.34
0.161,0.839,0.0,-0.3182
0.0,1.0,0.0,0.0
0.204,0.796,0.0,-0.3182
0.38,0.62,0.0,-0.5994
0.34,0.66,0.0,-0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.889,0.111,0.1877
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.299,0.701,0.0,-0.6908
0.0,0.752,0.248,0.5106
0.0,1.0,0.0,0.0
0.0,0.857,0.143,0.128
0.0,1.0,0.0,0.0
0.391,0.609,0.0,-0.7721
0.204,0.672,0.124,-0.0665
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.152,0.848,0.0,-0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.278,0.722,0.0,-0.4019
0.239,0.761,0.0,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.229,0.771,0.0,-0.3346
0.263,0.737,0.0,-0.6908
0.0,1.0,0.0,0.0
0.163,0.837,0.0,-0.3252
0.18,0.82,0.0,-0.296
0.172,0.625,0.203,0.1027
0.274,0.591,0.135,-0.6486
0.0,1.0,0.0,0.0
0.27,0.73,0.0,-0.5719
0.0,1.0,0.0,0.0
0.214,0.462,0.324,0.2263
0.231,0.769,0.0,-0.4019
0.0,1.0,0.0,0.0
0.144,0.637,0.219,0.2649
0.144,0.856,0.0,-0.4019
0.237,0.763,0.0,-0.4767
0.231,0.769,0.0,-0.5574
0.0,1.0,0.0,0.0
0.0,0.748,0.252,0.5719
0.147,0.769,0.083,-0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.239,0.761,0.0,-0.296
0.194,0.806,0.0,-0.6249
0.22,0.78,0.0,-0.4767
0.0,1.0,0.0,0.0
0.096,0.782,0.122,0.1139
0.0,0.797,0.203,0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.741,0.259,0.4847
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.181,0.691,0.128,-0.25
0.0,1.0,0.0,0.0
0.187,0.813,0.0,-0.3182
0.281,0.719,0.0,-0.6486
0.174,0.826,0.0,-0.2755
0.181,0.819,0.0,-0.4767
0.0,0.83,0.17,0.3089
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.256,0.744,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,0.769,0.231,0.34
0.0,0.828,0.172,0.4019
0.197,0.803,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.071,0.929,0.0,-0.0772
0.252,0.748,0.0,-0.4019
0.0,1.0,0.0,0.0
0.15,0.694,0.156,0.0258
0.29,0.71,0.0,-0.5423
0.504,0.496,0.0,-0.7269
0.0,0.769,0.231,0.34
0.286,0.714,0.0,-0.4939
0.303,0.492,0.205,-0.296
0.231,0.769,0.0,-0.4019
0.0,1.0,0.0,0.0
0.149,0.851,0.0,-0.2732
0.0,0.704,0.296,0.6369
0.231,0.769,0.0,-0.5106
0.281,0.719,0.0,-0.5994
0.211,0.789,0.0,-0.4939
0.0,0.846,0.154,0.25
0.145,0.855,0.0,-0.296
0.0,1.0,0.0,0.0
0.237,0.763,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.231,0.769,0.0,-0.4019
0.115,0.885,0.0,-0.296
0.28,0.72,0.0,-0.3603
0.184,0.766,0.05,-0.5423
0.129,0.706,0.165,0.1531
0.133,0.684,0.183,0.2187
0.156,0.844,0.0,-0.34
0.0,0.822,0.178,0.0772
0.124,0.73,0.146,0.1027
0.112,0.888,0.0,-0.2263
